LABEL,QUESTIONS
all,How many cantelopes did they grow in total ?
all,How many books do they have together ?
all,How many pears were picked in total ?
all,How many blue balloons do they have in all ?
all,How many pencils are now there in total ?
+,How much did he spent on the baseball gear ?
+,How many football games did Melanie go to in all ?
+,How many orange balloons does Joan have now ?
+,How many dogwood trees will the park have when the workers are finished ?
+,How many seashells does he now have ?
all,How many pumpkins did they grow in total ?
+,How many violet marbles does he now have ?
all,How many scissors are now there in all ?
all,How many pencils are now there in all ?
+,How many Pokemon cards did he have to start with ?
+,How many oak trees will the park have when the workers are finished ?
+,How many baseball cards does Fred have now ?
+,How much change did Mary receive ?
+,How many books do the libraries in Oak Grove have overall ?
+,How many houses did developers build during the housing boom ?
+,How much money does Carrie have left ?
+,How much money does Elise have left ?
+,How much money does Johnny have left ?
c,How much more money does Dalton need to buy the jump rope the game and the ball .
+,How many Pokemon cards did Jason have to start with ?
+,How many pounds of fruit did Scarlett use in all ?
all,How much milk did they drink in all ?
+,How many miles did Craig walk in all ?
+,What fraction of the nails are either size 2d or 4d ? .
all,How many miles did Irwin 's family hike in all ?
+,How many miles did Trisha walk in all ?
+,How many tons of marble did Paco 's Countertop Company purchase in all ?
all,How many pints did they eat in all ?
+,How many buckets of seeds did the farmer sow ?
all,How much did it snow on Monday and Tuesday combined ?
+,How long is the piece of wood now ?
c,How many more crayons does Willy have then Lucy ?
+,How many marbles does Juan have ?
+,How many seats are empty in the theater ?
+,How tall is the shortest player in inches ?
+,How many bottle caps does Jose end with ?
+,how many Skittles will Bridget have ? .
+,how many crayons will Michelle have ? .
+,How many oranges does Donald have in all ?
all,How many blocks are there total ?
+,how many erasers are in the box ? .
+,How many cards does Kevin end with ?
+,How many bottle caps does Joshua have in all ?
+,How many bottle caps does Nicholas end with ?
+,How many crayons does Annie end with ?
+,How many bottle caps does Evelyn end with ?
+,How many apples does Brenda have in all ?
+,How many eggs does Virginia end with ?
+,How many eggs are left ?
+,How many eggs does Edward end with ?
+,How many cards will Larry have ?
+,How many bananas does Carlos end with ?
+,How many crayons does Ernest end with ?
+,How many oranges will Steve have ?
+,How many pencils does Jesse end with ?
+,How many blocks will Roger have ?
+,How many bananas are there in the pile ?
+,How many eggs does Joyce have in all ?
+,How many marbles does Carolyn end with ?
+,How many bananas will Willie have ?
+,How many oranges are left in the box ?
+,How many blocks does Mildred end with ?
c,How many more balloons do you have than your friend ?
c,How many fewer bees are there than flowers ?
+,How many gold stars did Shelby earn in all ?
+,How many shells did he pick up in all ?
+,How many people were present in the program ?
+,How many dogs are barking ?
+,How old is Molly now ?
+,How many carrot sticks did he eat ?
+,how many pounds does she have ? .
all,how many cubes long are both pencils ? .
+,How many fish did he have to begin with ?
+,How many noodles did Daniel have to begin with ?
+,How many pink cookies did she make ?
all,How many children were on the playground in all ?
+,How many pieces of gum did Robin 's brother give her ?
+,Now how many kids are on the soccer field ?
+,How many cards did Nell give to Jeff ?
+,How many girls are on the playground ?
+,how many cars will he have then ? .
+,How many green balloons does Brad have ?
c,How many more pennies does John have ?
all,How many crayons had been lost or given away ?
+,How many birds were there altogether in the tree ?
all,How many cookies did they have altogether ?
+,How many dollars did Gary have left ?
+,How many markers does Megan have altogether ?
+,How many did she start with ?
+,How many did she have to start with ?
+,How many seats are empty in the theater ?
+,How many Legos does she have now ?
